year,e_prev_100k,source
1990,47678.3,WHO (1990-2014)
1991,47347.499999999985,WHO (1990-2014)
1992,47245.8,WHO (1990-2014)
1993,46894.899999999994,WHO (1990-2014)
1994,47385.1,WHO (1990-2014)
1995,47086.299999999996,WHO (1990-2014)
1996,46950.60000000001,WHO (1990-2014)
1997,46521.4,WHO (1990-2014)
1998,46048.799999999996,WHO (1990-2014)
1999,45459.7,WHO (1990-2014)
2000,44482.79,WHO (1990-2014)
2001,43641.00000000001,WHO (1990-2014)
2002,43833.1,WHO (1990-2014)
2003,42377.8,WHO (1990-2014)
2004,41616.7,WHO (1990-2014)
2005,40447.15,WHO (1990-2014)
2006,39394.799999999996,WHO (1990-2014)
2007,37750.5,WHO (1990-2014)
2008,35982.1,WHO (1990-2014)
2009,34500.2,WHO (1990-2014)
2010,33674.9,WHO (1990-2014)
2011,32853.25,WHO (1990-2014)
2012,32124.38,WHO (1990-2014)
2013,31565.98,WHO (1990-2014)
2014,30920.119999999995,WHO (1990-2014)
